OutputName,OutputType,OutputTier,basic_resource_list,basic_resource_quantity_list,max_daily_production,resource_list_length
Fuel,R4,1,['Hydrogen'],[2.0],2596262.977307111,1.0
Ammunition,R4,2,['Copper Ore'],[4.0],432710.4962178518,1.0
Food,R4,1,['Biomass'],[2.0],346168.39697428147,1.0
Toolkit 1,R4,2,['Iron Ore'],[4.0],173084.19848714073,1.0
Toolkit 3,R4,4,['Titanium Ore'],[24.0],115493.12496217852,1.0
Energy Cannon XXXS T1,SHIP_WEAPONS,1,"['Carbon', 'Hydrogen', 'Lumanite', 'Copper Ore', 'Diamond', 'Iron Ore', 'Abyssal Chromite', 'Manganese Ore', 'Titanium Ore', 'Zinc Ore', 'Tin Ore', 'Thermoplastic Resin', 'Tenon Gas']","[800.0, 262.0, 200.0, 240.0, 204.0, 168.0, 72.0, 288.0, 576.0, 192.0, 96.0, 48.0, 144.0]",3605.920801815432,13.0
Energy Capacitor XXS T1,COUNTERMEASURES,1,"['Tantalum Ore', 'Tritium Ore', 'Copper Ore', 'Carbon', 'Lithium Ore', 'Hydrogen', 'Nitrogen', 'Silica', 'Osmium Ore', 'Rhenium Ore', 'Krypton', 'Xenon', 'Methane', 'Sodium Crystals', 'Lumanite']","[160.0, 160.0, 360.0, 520.0, 320.0, 120.0, 120.0, 120.0, 200.0, 200.0, 100.0, 150.0, 150.0, 100.0, 20.0]",3461.00884720121,15.0
Energy Capacitor XXXS T1,COUNTERMEASURES,1,"['Tantalum Ore', 'Tritium Ore', 'Copper Ore', 'Carbon', 'Lithium Ore', 'Hydrogen', 'Nitrogen', 'Silica', 'Osmium Ore', 'Rhenium Ore', 'Krypton', 'Xenon', 'Methane', 'Sodium Crystals', 'Lumanite']","[160.0, 160.0, 360.0, 482.0, 320.0, 120.0, 120.0, 120.0, 200.0, 200.0, 100.0, 150.0, 150.0, 100.0, 1.0]",3461.00884720121,15.0
Warming Plates XXXS T1,COUNTERMEASURES,1,"['Thermal Regulator Stone', 'Tungsten Ore', 'Radiant Dust', 'Copper Ore', 'Thermal Bloom Sediment', 'Aluminum Ore', 'Tenon Gas', 'Nitrogen', 'Silicon Crystal']","[320.0, 612.0, 715.0, 450.0, 375.0, 160.0, 120.0, 40.0, 240.0]",3396.856616534662,9.0
Warming Plates XXS T1,COUNTERMEASURES,1,"['Thermal Regulator Stone', 'Tungsten Ore', 'Radiant Dust', 'Copper Ore', 'Thermal Bloom Sediment', 'Aluminum Ore', 'Tenon Gas', 'Nitrogen', 'Silicon Crystal']","[320.0, 612.0, 715.0, 450.0, 375.0, 160.0, 120.0, 40.0, 240.0]",3396.856616534662,9.0
